Fichier,is_db_file,is_not_db_file,588,ababf2d029a6d15d0b5bf,ac3a02d029a6d15d0b5c4,booking,by,cinema,email,get,id,make,movie,notification,payment,premiere,purchase,send,sms,ticket,verify
db|cinema-catalog-service/src/api/cinema-catalog.spec.js,True,False,True,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False
db|movies-service/src/api/movies.spec.js,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
booking-service/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
db|movies-service/src/repository/repository.js,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
db|payment-service/src/repository/repository.js,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
movies-service/src/config/config.js,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
db|payment-service/src/api/payment.js,True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False
db|movies-service/src/api/movies.js,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
movies-service/src/mock/movies.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
db|api-gateway/integration-test/index.js,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False
db|cinema-catalog-service/src/repository/repository.js,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False
db|booking-service/src/services/payment.service.js,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False
notification-service/src/config/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/models/index.spec.js,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False
db|booking-service/src/api/booking.spec.js,True,False,False,False,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False
db|cinema-catalog-service/src/api/cinema-catalog.js,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
db|booking-service/src/api/booking.js,True,False,False,False,False,True,False,False,True,False,True,False,True,True,True,False,False,False,False,True,True
db|booking-service/src/repository/repository.js,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
payment-service/src/config/index.di.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/models/payment.model.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
db|notification-service/integration-test/index.js,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False
cinema-catalog-service/src/config/mongo.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
db|payment-service/src/api/payment.spec.js,True,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,False,False,False
booking-service/src/services/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
cinema-catalog-service/src/server/server.js,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
payment-service/src/config/di/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/models/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
notification-service/src/config/di/di.proto.js,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
payment-service/src/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
movies-service/src/config/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/config.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
cinema-catalog-service/src/config/mongo.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
db|notification-service/src/api/notification.js,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
booking-service/mock/index.js,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
api-gateway/src/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/server/server.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
db|payment-service/integration-test/index.js,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False
db|movies-service/integration-test/index.js,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
notification-service/src/repository/repository.js,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False
notification-service/src/config/di/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/models/notification.model.js,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False
db|booking-service/integration-test/index.js,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False
movies-service/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/di/di.js,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
movies-service/src/index.js,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
payment-service/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
movies-service/src/config/mongo.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/server/server.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
api-gateway/src/config/config.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/models/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
db|booking-service/src/services/notification.service.js,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False
booking-service/src/config/db/mongo.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/db/mongo.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/config/di/di.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/models/index.spec.js,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False
payment-service/src/models/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
db|notification-service/src/api/notification.spec.js,True,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,True,False,True,False
booking-service/src/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/db/mongo.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
movies-service/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/db/index.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
api-gateway/src/config/di/di.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/config/index.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
booking-service/src/models/user.model.js,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/server/server.js,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
payment-service/src/config/db/index.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
notification-service/src/config/config.js,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
movies-service/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/config/index.di.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/di/di.proto.js,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
api-gateway/src/config/index.di.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/di/di.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
db|cinema-catalog-service/integration-test/index.js,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
api-gateway/src/docker/docker.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/config/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/db/mongo.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/models/index.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
booking-service/src/server/server.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
api-gateway/src/docker/docker.js,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
api-gateway/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/config/config.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/config/di/di.proto.js,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
booking-service/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
movies-service/src/config/mongo.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/server/server.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
payment-service/src/repository/repository.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/config/config.js,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
cinema-catalog-service/src/index.js,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
notification-service/src/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
booking-service/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
notification-service/src/config/ssl/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/config/di/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
api-gateway/src/repository/repository.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
movies-service/src/server/server.js,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
booking-service/src/models/booking.model.js,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
booking-service/src/config/index.di.spec.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
booking-service/src/models/ticket.model.js,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
booking-service/src/config/di/index.js,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
